id	occurrences	char	shape_id
g259	440	奴	9021343388d7483e
g260	436	難	d29d91181a85fee0
g261	428	両	cb5446b181d61be5
g262	426	然	8f2a3caadc87427b
g263	424	助	ac5c89edc040a7a3
g264	422	敏	a89010feb60762ec
g265	418	五	bf418893b8b573f8
g266	408	望	b3502b6f00b19f6d
g267	404	飛	7d64e6154cc6a309
g268	402	受	540b433f6dadf49d
g269	400	直	bcc2797ce4ca5903
g270	398	階	2318d6c48bc4c305
g271	392	径	bb24b6b999fe15dd
g272	392	転	e7d868b7b1eb0fed
g273	390	市	9bc05c5fb4acea43
g274	390	男	2ab25ec156e2cf49
g275	382	倒	30c787d3fbc71e20
g276	382	技	80203f66a348425c
g277	380	臨	dc9d3162d156ee86
g278	378	察	22b41ef7a77bc8ba
g279	376	些	a7c651dc4d0fa6cd
g280	374	裏	703fc9c8e18c970f
g281	372	採	23e88c5c6e450441
g282	370	終	f52d545468af1773
g283	368	修	97cea021dc4d60fc
g284	362	達	7f5390bccd03b0b3
g285	362	返	868c54078b444eca
g286	360	俯	e454c6719ce1b100
g287	360	選	a2694b33a5c3c42f
g288	358	傷	30b353e4f5829acb
g289	358	排	ad0e86ac21fcaa84
g290	356	走	8d6c0a5c6485afda
g291	356	層	49c38dbf3cf5468f
g292	352	瞰	c6c25e49672e4234
g293	350	白	cb865f6ffcf5a688
g294	342	放	25e06abf6aecff9d
g295	342	第	753f84e3a56ee5de
g296	340	繰	5801ddb203865c70
g297	338	換	db99afc952a75b06
g298	332	悪	af86298cf4bb39f6
g299	332	類	a9b8c183ed24fda6
g300	328	側	9b8d52a90d88f831
g301	328	独	d8a43dcf4df727cf
g302	328	野	b1a85288269ee00d
g303	324	木	217c9f7b537e27f0
g304	324	低	00e0091fac39d797
g305	310	氏	10058a06716e5398
g306	308	凄	10001a821f90a9a8
g307	304	択	5a7ce044d1fdc4bb
g308	298	術	0174162525c9dd05
g309	292	命	13f19eb39d3b2b2f
g310	290	脱	80e7003993eb19e1
g311	288	万	5f3020a85b3b7046
g312	284	恐	e0c4d8c7c9ae36d1
g313	280	早	4aabd09e01e74785
g314	276	官	1b855452eb96e522
g315	274	負	1f78751cfd475112
g316	268	絞	fd1a29bd47cfa4ba
g317	266	怨	abcd864d8835ea38
g318	264	務	4a1dfbf3f23b429b
g319	262	型	be9d7f13b55440c7
g320	256	末	01dc52940861dae5
g321	256	格	9d6263e82b84a185
g322	252	毛	e8ed113c4eb3913f
g323	248	浩	0dee2db5c768b3fe
g324	244	避	ebe29cf99524c8d5
g325	242	道	64338caaa985eeb0
g326	240	都	bed1bf1afbdba90f
g327	238	屋	365173426404c440
g328	236	姿	02e221333098c2c6
g329	230	潜	40f4b3ab7526e4c8
g330	230	門	3d4446a4c342a510
g331	228	録	2cc7f063c75836a4
g332	228	弱	7d4ab534870588c5
g333	224	◯	ae4b569283eae6bf
g334	220	御	9e20c68821111e53
g335	220	炉	70150c4d8724dc06
g336	220	陰	dff5ce567308e5a2
g337	216	民	035fa301c15d8ea7
g338	216	詰	d1d96d9721a2b19a
g339	214	点	bfe56eb7488e2037
g340	212	品	4b84bda68db6dbea
g341	210	北	c79ee75c9e8ff57e
g342	210	題	be98b398a030a39c
g343	210	販	2695384ba1451752
g344	210	整	7b212a63034f32ab
g345	208	文	b670d676cebb516f
g346	208	伺	affea7eaf6f7698b
g347	208	家	e41f3276c0adc6d3
g348	206	在	4400fe239e44291e
g349	206	消	4621ca788967705f
g350	202	歩	cd7b5416b4001701
g351	202	悩	af0fbe534c0a6600
g352	202	房	a0002fdc1a38c23f
g353	200	好	d46fb6dae5df26a8
g354	200	遜	acd34f66f956c999
g355	198	戻	aaa969a236d35dd0
g356	198	瞬	0c22a576d3b2b962
g357	196	博	bbc5b09206ba355e
g358	196	渡	982eaeee85b25758
g359	194	活	d3062cb143fbeda7
g360	194	系	3aa7778889b4a57f
g361	188	略	d5f3ac82c97d0974
g362	188	護	9570f58fedca133b
g363	186	練	bc05a46ba95da603
g364	180	教	61f96c2228d8911d
g365	178	訓	271e8e0bba5ce717
g366	176	抽	47ef9d832bfa6e52
g367	176	勇	aea1a50126b1b5da
g368	176	路	e50b9652ac4ee225
g369	172	政	9704cbc510d23428
g370	170	室	69c997ba95385787
g371	170	端	a11beabbde6f234a
g372	168	絡	d23b278864e91b55
g373	166	根	aabf50d0f99e1ae9
g374	166	粗	b49464b46745bc3f
g375	164	隊	2dcb2f9b34fc10cb
g376	162	令	4738c867d43b3fc7
g377	162	美	5f1e58776184944c
g378	162	岸	34f0e941715c10cb
g379	160	天	b6f0abd686259c7c
g380	158	待	b3dfc92d862ff135
g381	158	業	45b08fd5785834e6
g382	158	運	b958c8c48cd55da0
g383	156	被	cb0fd624fd67df33
g384	154	吹	68c2051a84579ab8
g385	154	眠	e9e1fc52e20ddb17
g386	152	優	7863edf02f963de6
g387	152	燃	740d420b52b4e0a2
g388	152	幕	0b77c6fff8feecd9
g389	152	酷	3ab6ad0089f2d41f
g390	150	惨	1b49a6908e21274d
g391	150	標	981bb9a7fe9a5933
g392	150	島	e313739517b33825
g393	150	賢	fe9ed7e4c05b943f
g394	150	声	60c9053deac63b30
